global_time,timestamp,Outer forearm sensor value (1),Inner forearm sensor value (2),angle
1691507136.7151496,14346180.0,314.0,318.0,
1691507136.7151496,14347748.0,313.0,318.0,
1691507136.7151496,14349324.0,316.0,326.0,
1691507136.71615,14350888.0,316.0,336.0,
1691507136.71615,14352456.0,320.0,351.0,
1691507136.71615,14354028.0,324.0,360.0,
1691507136.7171495,14355596.0,323.0,368.0,
1691507136.7171495,14357164.0,324.0,365.0,
1691507136.7171495,14358736.0,325.0,358.0,
1691507136.7171495,14360304.0,323.0,359.0,
1691507136.718151,14361872.0,323.0,338.0,
1691507136.718151,14363444.0,326.0,308.0,
1691507136.718151,14365012.0,322.0,308.0,
1691507136.7191498,14366580.0,318.0,320.0,
1691507136.7191498,14368148.0,316.0,321.0,
1691507136.7201505,14369720.0,317.0,327.0,
1691507136.7201505,14371288.0,319.0,340.0,
1691507136.7201505,14372856.0,319.0,358.0,
1691507136.7211497,14374428.0,321.0,365.0,
1691507136.7211497,14375996.0,323.0,370.0,
1691507136.7211497,14377568.0,324.0,376.0,
1691507136.7211497,14379136.0,324.0,361.0,
1691507136.72215,14380704.0,329.0,333.0,
1691507136.72215,14382276.0,322.0,331.0,
1691507136.72215,14383844.0,318.0,327.0,
1691507136.7231498,14385412.0,318.0,320.0,
1691507136.7231498,14386984.0,317.0,316.0,
1691507136.7231498,14388552.0,315.0,319.0,
1691507136.7231498,14390124.0,315.0,325.0,
1691507136.7241502,14391692.0,318.0,342.0,
1691507136.7241502,14393260.0,322.0,362.0,
1691507136.7746167,14394828.0,324.0,365.0,
1691507136.7746167,14396400.0,325.0,367.0,
1691507136.7756147,14397968.0,324.0,367.0,
1691507136.7756147,14399540.0,323.0,356.0,
1691507136.7756147,14401108.0,321.0,346.0,
1691507136.7766156,14402676.0,320.0,325.0,
1691507136.7766156,14404248.0,320.0,319.0,
1691507136.7766156,14405816.0,319.0,312.0,
1691507136.777615,14407384.0,317.0,313.0,
1691507136.777615,14408956.0,314.0,326.0,
1691507136.777615,14410524.0,315.0,330.0,
1691507136.777615,14412092.0,320.0,342.0,
1691507136.7786152,14413664.0,325.0,360.0,
1691507136.7786152,14415232.0,328.0,369.0,
1691507136.7786152,14416800.0,323.0,365.0,
1691507136.779615,14418372.0,321.0,364.0,
1691507136.779615,14419940.0,321.0,353.0,
1691507136.779615,14421508.0,321.0,343.0,
1691507136.779615,14423080.0,321.0,325.0,
1691507136.780615,14424648.0,319.0,321.0,
1691507136.780615,14426216.0,317.0,315.0,
1691507136.780615,14427788.0,314.0,339.0,
1691507136.781615,14429356.0,321.0,319.0,
1691507136.781615,14430924.0,323.0,317.0,
1691507136.781615,14432496.0,321.0,347.0,
1691507136.781615,14434064.0,324.0,362.0,
1691507136.782615,14435632.0,325.0,371.0,
1691507136.782615,14437204.0,321.0,368.0,
1691507136.782615,14438772.0,320.0,364.0,
1691507136.7836158,14440340.0,321.0,354.0,
1691507136.7836158,14441912.0,320.0,343.0,
1691507136.7836158,14443480.0,319.0,329.0,
1691507136.7836158,14445048.0,317.0,336.0,
1691507136.7846148,14446620.0,324.0,300.0,
1691507136.7846148,14448188.0,321.0,303.0,
1691507136.7846148,14449756.0,318.0,326.0,
1691507136.7856152,14451328.0,317.0,335.0,
1691507136.7856152,14452896.0,318.0,354.0,
1691507136.7856152,14454468.0,320.0,364.0,
1691507136.8365817,14456036.0,323.0,373.0,
1691507136.8375852,14457604.0,324.0,371.0,
1691507136.8375852,14459176.0,325.0,368.0,
1691507136.8375852,14460744.0,325.0,357.0,
1691507136.8385816,14462312.0,323.0,335.0,
1691507136.8385816,14463884.0,320.0,324.0,
1691507136.8385816,14465452.0,319.0,313.0,
1691507136.8385816,14467020.0,317.0,315.0,
1691507136.8395815,14468592.0,314.0,316.0,
1691507136.8395815,14470168.0,314.0,324.0,
1691507136.8395815,14471728.0,315.0,334.0,
1691507136.840582,14473296.0,320.0,354.0,
1691507136.840582,14474868.0,322.0,363.0,
1691507136.840582,14476436.0,324.0,370.0,
1691507136.840582,14478008.0,324.0,382.0,
1691507136.8415818,14479576.0,327.0,347.0,
1691507136.8415818,14481144.0,325.0,349.0,
1691507136.8415818,14482716.0,323.0,336.0,
1691507136.8425815,14484284.0,322.0,326.0,
1691507136.8425815,14485856.0,320.0,320.0,
1691507136.8425815,14487424.0,317.0,317.0,
1691507136.8425815,14488992.0,315.0,317.0,
1691507136.843582,14490560.0,315.0,325.0,
1691507136.843582,14492132.0,317.0,339.0,
1691507136.843582,14493708.0,320.0,363.0,
1691507136.8445814,14495268.0,323.0,367.0,
1691507136.8445814,14496840.0,330.0,344.0,
1691507136.8445814,14498408.0,326.0,363.0,
1691507136.8445814,14499980.0,323.0,364.0,
1691507136.8455813,14501548.0,322.0,355.0,
1691507136.8455813,14503116.0,320.0,335.0,
1691507136.8455813,14504684.0,319.0,327.0,
1691507136.8465822,14506256.0,317.0,318.0,
1691507136.8465822,14507824.0,317.0,320.0,
1691507136.8465822,14509396.0,316.0,322.0,
1691507136.8465822,14510964.0,318.0,330.0,
1691507136.8475814,14512532.0,318.0,354.0,
1691507136.8475814,14514104.0,326.0,337.0,
1691507136.8475814,14515672.0,323.0,364.0,
1691507136.8485806,14517240.0,323.0,372.0,
1691507136.8986974,14518812.0,324.0,373.0,
1691507136.8986974,14520380.0,323.0,358.0,
1691507136.8995364,14521948.0,322.0,350.0,
1691507136.8995364,14523516.0,320.0,328.0,
1691507136.8995364,14525088.0,320.0,323.0,
1691507136.900537,14526656.0,317.0,313.0,
1691507136.900537,14528228.0,316.0,311.0,
1691507136.900537,14529796.0,318.0,320.0,
1691507136.900537,14531364.0,317.0,330.0,
1691507136.9015398,14532932.0,319.0,345.0,
1691507136.9015398,14534504.0,320.0,355.0,
1691507136.9015398,14536072.0,322.0,366.0,
1691507136.9015398,14537644.0,324.0,365.0,
1691507136.9025369,14539212.0,324.0,364.0,
1691507136.9025369,14540780.0,324.0,355.0,
1691507136.903537,14542352.0,324.0,347.0,
1691507136.903537,14543920.0,320.0,341.0,
1691507136.903537,14545488.0,323.0,319.0,
1691507136.9045372,14547060.0,323.0,301.0,
1691507136.9045372,14548628.0,318.0,309.0,
1691507136.9045372,14550196.0,315.0,327.0,
1691507136.9045372,14551768.0,316.0,334.0,
1691507136.9055371,14553336.0,317.0,351.0,
1691507136.9055371,14554908.0,320.0,360.0,
1691507136.9055371,14556476.0,320.0,384.0,
1691507136.906538,14558044.0,330.0,347.0,
1691507136.906538,14559612.0,328.0,361.0,
1691507136.906538,14561184.0,322.0,376.0,
1691507136.9075372,14562752.0,325.0,336.0,
1691507136.9075372,14564320.0,325.0,318.0,
1691507136.9075372,14565892.0,319.0,323.0,
1691507136.9075372,14567460.0,317.0,323.0,
1691507136.9085371,14569032.0,318.0,322.0,
1691507136.9085371,14570600.0,316.0,332.0,
1691507136.9085371,14572168.0,315.0,336.0,
1691507136.9095376,14573736.0,320.0,350.0,
1691507136.9095376,14575308.0,323.0,359.0,
1691507136.9095376,14576876.0,323.0,364.0,
1691507136.9095376,14578448.0,322.0,366.0,
1691507136.9647155,14580016.0,323.0,361.0,
1691507136.9647155,14581584.0,323.0,356.0,
1691507136.9657164,14583156.0,320.0,336.0,
1691507136.9657164,14584724.0,319.0,327.0,
1691507136.9657164,14586292.0,318.0,319.0,
1691507136.9667163,14587864.0,316.0,315.0,
1691507136.9667163,14589432.0,316.0,316.0,
1691507136.9667163,14591004.0,317.0,324.0,
1691507136.9667163,14592572.0,318.0,336.0,
1691507136.9677165,14594140.0,321.0,353.0,
1691507136.9677165,14595708.0,323.0,364.0,
1691507136.9677165,14597280.0,325.0,368.0,
1691507136.968717,14598848.0,325.0,369.0,
1691507136.968717,14600416.0,324.0,358.0,
1691507136.968717,14601988.0,323.0,349.0,
1691507136.9697163,14603556.0,320.0,334.0,
1691507136.9697163,14605124.0,318.0,324.0,
1691507136.9697163,14606696.0,317.0,319.0,
1691507136.9697163,14608264.0,318.0,317.0,
1691507136.9707165,14609832.0,317.0,319.0,
1691507136.9707165,14611404.0,318.0,338.0,
1691507136.9707165,14612972.0,324.0,324.0,
1691507136.9717171,14614552.0,324.0,344.0,
1691507136.9717171,14616112.0,323.0,371.0,
1691507136.9717171,14617680.0,323.0,373.0,
1691507136.972717,14619252.0,324.0,370.0,
1691507136.972717,14620820.0,323.0,360.0,
1691507136.972717,14622388.0,322.0,351.0,
1691507136.972717,14623956.0,319.0,332.0,
