global_time,timestamp,Outer forearm sensor value (1),Inner forearm sensor value (2),Touch sensor 3 (ring finger),Touch sensor 2 (middle finger),Touch sensor 1 (index finger)
1694001872.4416888,70567572.0,315.0,327.0,1.0,1.0,0.0
1694001872.4426887,70569664.0,340.0,332.0,1.0,1.0,0.0
1694001872.4426887,70571756.0,340.0,332.0,1.0,1.0,0.0
1694001872.4436884,70573848.0,308.0,327.0,1.0,1.0,0.0
1694001872.4436884,70575940.0,324.0,323.0,1.0,1.0,0.0
1694001872.4446888,70578036.0,336.0,325.0,1.0,1.0,0.0
1694001872.4446888,70580128.0,324.0,325.0,1.0,1.0,0.0
1694001872.4456882,70582220.0,326.0,320.0,1.0,1.0,0.0
1694001872.4456882,70584312.0,324.0,322.0,1.0,1.0,0.0
1694001872.4466887,70586404.0,319.0,329.0,1.0,1.0,0.0
1694001872.4476883,70588496.0,331.0,330.0,1.0,1.0,0.0
1694001872.4476883,70590588.0,321.0,329.0,1.0,1.0,0.0
1694001872.44869,70592680.0,332.0,331.0,1.0,1.0,0.0
1694001872.44869,70594776.0,333.0,329.0,1.0,1.0,0.0
1694001872.4496887,70596868.0,336.0,326.0,1.0,1.0,0.0
1694001872.4496887,70598960.0,339.0,323.0,1.0,1.0,0.0
1694001872.4506905,70601052.0,311.0,321.0,1.0,1.0,0.0
1694001872.4516897,70603144.0,318.0,321.0,1.0,1.0,0.0
1694001872.4516897,70605236.0,318.0,325.0,1.0,1.0,0.0
1694001872.4526887,70607328.0,308.0,329.0,1.0,1.0,0.0
1694001872.4526887,70609420.0,321.0,329.0,1.0,1.0,0.0
1694001872.4536889,70611516.0,353.0,334.0,1.0,1.0,0.0
1694001872.4536889,70613608.0,346.0,326.0,1.0,1.0,0.0
1694001872.4546885,70615700.0,345.0,332.0,1.0,1.0,0.0
1694001872.4556887,70617792.0,313.0,329.0,1.0,1.0,0.0
1694001872.5016901,70619884.0,293.0,320.0,1.0,1.0,0.0
1694001872.5026884,70621976.0,347.0,311.0,1.0,1.0,0.0
1694001872.5026884,70624068.0,342.0,321.0,1.0,1.0,0.0
1694001872.503688,70626160.0,325.0,328.0,1.0,1.0,0.0
1694001872.503688,70628256.0,323.0,327.0,1.0,1.0,0.0
1694001872.5046892,70630348.0,352.0,334.0,1.0,1.0,1.0
1694001872.5046892,70632440.0,333.0,328.0,1.0,1.0,1.0
1694001872.505688,70634532.0,306.0,328.0,1.0,1.0,1.0
1694001872.505688,70636624.0,312.0,327.0,1.0,1.0,1.0
1694001872.5066886,70638716.0,346.0,326.0,1.0,1.0,1.0
1694001872.507688,70640808.0,325.0,322.0,1.0,1.0,1.0
1694001872.507688,70642900.0,298.0,324.0,1.0,1.0,1.0
1694001872.5086887,70644996.0,326.0,319.0,1.0,1.0,1.0
1694001872.5086887,70647088.0,337.0,325.0,1.0,1.0,1.0
1694001872.5096889,70649180.0,335.0,331.0,1.0,1.0,1.0
1694001872.5106885,70651272.0,338.0,334.0,1.0,1.0,1.0
1694001872.5106885,70653364.0,327.0,333.0,1.0,1.0,1.0
1694001872.5116887,70655456.0,320.0,324.0,1.0,1.0,1.0
1694001872.5116887,70657548.0,312.0,326.0,1.0,1.0,1.0
1694001872.5126886,70659640.0,328.0,323.0,1.0,1.0,1.0
1694001872.5126886,70661736.0,336.0,323.0,1.0,1.0,1.0
1694001872.5136888,70663828.0,329.0,321.0,1.0,1.0,1.0
1694001872.514689,70665920.0,307.0,325.0,1.0,1.0,1.0
1694001872.514689,70668012.0,354.0,329.0,1.0,1.0,1.0
1694001872.5156887,70670104.0,310.0,327.0,1.0,1.0,1.0
1694001872.5156887,70672196.0,329.0,331.0,1.0,1.0,1.0
1694001872.5166888,70674288.0,347.0,332.0,1.0,1.0,1.0
1694001872.5166888,70676384.0,336.0,328.0,1.0,1.0,1.0
1694001872.5176892,70678472.0,318.0,325.0,1.0,1.0,1.0
1694001872.5186894,70680568.0,292.0,324.0,1.0,1.0,1.0
1694001872.5186894,70682660.0,322.0,320.0,1.0,1.0,1.0
1694001872.5627124,70684752.0,349.0,325.0,1.0,1.0,1.0
1694001872.563713,70686844.0,325.0,322.0,1.0,1.0,1.0
1694001872.563713,70688936.0,334.0,329.0,1.0,1.0,1.0
1694001872.5647132,70691028.0,341.0,332.0,1.0,1.0,1.0
1694001872.5657125,70693124.0,354.0,333.0,1.0,1.0,1.0
1694001872.5657125,70695216.0,330.0,325.0,1.0,1.0,1.0
1694001872.566725,70697308.0,304.0,328.0,1.0,1.0,1.0
1694001872.5677137,70699400.0,285.0,319.0,1.0,1.0,1.0
1694001872.5687134,70701492.0,343.0,324.0,1.0,1.0,1.0
1694001872.5687134,70703584.0,371.0,324.0,1.0,1.0,1.0
1694001872.5697134,70705676.0,347.0,324.0,1.0,1.0,1.0
1694001872.5697134,70707768.0,333.0,326.0,0.0,1.0,1.0
1694001872.5707133,70709860.0,321.0,330.0,0.0,1.0,1.0
1694001872.5707133,70711956.0,301.0,330.0,0.0,1.0,1.0
1694001872.571713,70714048.0,331.0,328.0,0.0,1.0,1.0
1694001872.5727124,70716140.0,339.0,331.0,0.0,1.0,1.0
1694001872.5727124,70718232.0,319.0,325.0,0.0,1.0,1.0
1694001872.5737128,70720324.0,332.0,327.0,0.0,0.0,1.0
1694001872.5737128,70722416.0,328.0,322.0,0.0,0.0,1.0
1694001872.5747137,70724508.0,304.0,317.0,0.0,0.0,1.0
1694001872.5747137,70726604.0,326.0,323.0,0.0,0.0,1.0
