global_time,timestamp,Outer forearm sensor value (1),Inner forearm sensor value (2),Load sensor value (3)
1692803855.0257795,492732680.0,319.0,290.0,218370.0
1692803855.0257795,492735212.0,346.0,297.0,218370.0
1692803855.026779,492737740.0,359.0,328.0,218370.0
1692803855.026779,492740268.0,367.0,322.0,218370.0
1692803855.026779,492742796.0,230.0,339.0,218370.0
1692803855.0277796,492745324.0,315.0,348.0,218370.0
1692803855.0277796,492747852.0,323.0,307.0,218370.0
1692803855.0287793,492750380.0,343.0,298.0,218370.0
1692803855.0287793,492752920.0,342.0,352.0,218370.0
1692803855.0287793,492755440.0,420.0,342.0,218370.0
1692803855.0297792,492757968.0,216.0,352.0,230849.0
1692803855.0297792,492760776.0,342.0,344.0,230849.0
1692803855.0297792,492763304.0,324.0,346.0,230849.0
1692803855.0307796,492765832.0,310.0,243.0,230849.0
1692803855.0307796,492768360.0,314.0,239.0,230849.0
1692803855.0317793,492770888.0,342.0,266.0,230849.0
1692803855.0317793,492773416.0,355.0,354.0,230849.0
1692803855.0317793,492775944.0,297.0,355.0,230849.0
1692803855.0327795,492778472.0,308.0,334.0,230849.0
1692803855.0902162,492781004.0,317.0,338.0,230849.0
1692803855.0912182,492783528.0,399.0,348.0,230849.0
1692803855.0912182,492786056.0,300.0,344.0,230849.0
1692803855.0922167,492788588.0,326.0,316.0,230849.0
1692803855.0922167,492791116.0,304.0,339.0,230849.0
1692803855.0922167,492793644.0,321.0,325.0,230849.0
1692803855.0932174,492796172.0,326.0,267.0,230849.0
1692803855.0932174,492798700.0,371.0,341.0,230849.0
1692803855.094217,492801228.0,375.0,340.0,230849.0
1692803855.094217,492803760.0,248.0,334.0,230849.0
1692803855.0952158,492806284.0,314.0,322.0,230849.0
1692803855.0952158,492808816.0,317.0,318.0,230849.0
1692803855.0952158,492811344.0,388.0,336.0,230849.0
1692803855.096217,492813872.0,364.0,333.0,230849.0
1692803855.096217,492816408.0,211.0,321.0,230849.0
1692803855.097217,492818928.0,350.0,335.0,230849.0
1692803855.097217,492821456.0,330.0,329.0,230849.0
1692803855.097217,492823984.0,329.0,267.0,230849.0
