timestamp,Outer forearm sensor value (1),Inner forearm sensor value (2),left mouse button,right mouse button
362680556.0,320.0,325.0,0.0,0.0
362682212.0,319.0,325.0,0.0,0.0
362683868.0,319.0,324.0,0.0,0.0
362685524.0,320.0,323.0,0.0,0.0
362687184.0,321.0,321.0,0.0,0.0
362688840.0,320.0,323.0,0.0,0.0
362690496.0,322.0,322.0,0.0,0.0
362692152.0,323.0,321.0,0.0,0.0
362693808.0,324.0,321.0,0.0,0.0
362695464.0,325.0,322.0,0.0,0.0
362697120.0,323.0,324.0,0.0,0.0
362698780.0,323.0,325.0,0.0,0.0
362700436.0,322.0,325.0,0.0,0.0
362702092.0,325.0,328.0,0.0,0.0
362703748.0,322.0,325.0,0.0,0.0
362705404.0,319.0,323.0,0.0,0.0
362707060.0,321.0,323.0,0.0,0.0
362708720.0,321.0,323.0,0.0,0.0
362710376.0,322.0,322.0,0.0,0.0
362712032.0,323.0,320.0,0.0,0.0
362713688.0,323.0,320.0,0.0,0.0
362715344.0,325.0,321.0,0.0,0.0
362717000.0,323.0,324.0,0.0,0.0
362718656.0,325.0,326.0,0.0,0.0
362720312.0,323.0,327.0,0.0,0.0
362721972.0,321.0,325.0,0.0,0.0
362723628.0,319.0,324.0,0.0,0.0
362725284.0,320.0,323.0,0.0,0.0
362726940.0,321.0,323.0,0.0,0.0
362728596.0,321.0,322.0,0.0,0.0
362730252.0,322.0,322.0,0.0,0.0
362731908.0,322.0,321.0,0.0,0.0
362733564.0,325.0,321.0,0.0,0.0
362735220.0,321.0,322.0,0.0,0.0
362736880.0,323.0,323.0,0.0,0.0
362738536.0,323.0,324.0,0.0,0.0
362740192.0,323.0,325.0,0.0,0.0
362741848.0,321.0,325.0,0.0,0.0
362743508.0,321.0,325.0,0.0,0.0
362745160.0,320.0,323.0,0.0,0.0
362746820.0,319.0,323.0,0.0,0.0
362748476.0,321.0,321.0,0.0,0.0
362750132.0,322.0,321.0,0.0,0.0
362751788.0,323.0,321.0,0.0,0.0
362753444.0,323.0,322.0,0.0,0.0
362755100.0,323.0,323.0,0.0,0.0
362756760.0,325.0,324.0,0.0,0.0
362758416.0,324.0,324.0,0.0,0.0
362760072.0,321.0,324.0,0.0,0.0
362761728.0,321.0,326.0,0.0,0.0
362763384.0,320.0,324.0,0.0,0.0
362765040.0,321.0,324.0,0.0,0.0
362766696.0,321.0,322.0,0.0,0.0
362768356.0,322.0,324.0,0.0,0.0
362770012.0,323.0,322.0,0.0,0.0
362771668.0,322.0,321.0,0.0,0.0
362773324.0,323.0,322.0,0.0,0.0
362774980.0,324.0,322.0,0.0,0.0
362776636.0,322.0,323.0,0.0,0.0
362778292.0,323.0,325.0,0.0,0.0
362779948.0,322.0,324.0,0.0,0.0
362781608.0,322.0,324.0,0.0,0.0
362783264.0,321.0,324.0,0.0,0.0
362784920.0,320.0,325.0,0.0,0.0
362786576.0,322.0,324.0,0.0,0.0
362788232.0,322.0,321.0,0.0,0.0
362789896.0,323.0,322.0,1.0,0.0
362791544.0,322.0,322.0,1.0,0.0
362793200.0,322.0,320.0,1.0,0.0
362794860.0,322.0,322.0,1.0,0.0
362796516.0,324.0,325.0,1.0,0.0
362798172.0,325.0,323.0,1.0,0.0
362799828.0,324.0,323.0,1.0,0.0
362801484.0,321.0,325.0,1.0,0.0
362803140.0,320.0,324.0,1.0,0.0
362804800.0,318.0,324.0,1.0,0.0
362806456.0,319.0,323.0,1.0,0.0
362808112.0,322.0,321.0,1.0,0.0
362809768.0,324.0,320.0,1.0,0.0
362811424.0,323.0,322.0,1.0,0.0
362813080.0,323.0,321.0,1.0,0.0
362814736.0,322.0,321.0,1.0,0.0
362816396.0,323.0,324.0,1.0,0.0
362818052.0,323.0,324.0,1.0,0.0
362819708.0,322.0,325.0,1.0,0.0
362821364.0,323.0,326.0,1.0,0.0
362823020.0,322.0,324.0,1.0,0.0
362824676.0,319.0,323.0,1.0,0.0
362826332.0,318.0,322.0,1.0,0.0
362827988.0,320.0,323.0,1.0,0.0
362829648.0,322.0,322.0,1.0,0.0
362831304.0,323.0,321.0,1.0,0.0
362832960.0,323.0,321.0,1.0,0.0
362834616.0,324.0,323.0,1.0,0.0
362836272.0,327.0,325.0,1.0,0.0
362837928.0,324.0,324.0,1.0,0.0
362839584.0,323.0,324.0,1.0,0.0
362841240.0,323.0,324.0,1.0,0.0
362842900.0,321.0,325.0,1.0,0.0
362844556.0,320.0,323.0,1.0,0.0
362846220.0,320.0,323.0,1.0,0.0
362847868.0,321.0,321.0,1.0,0.0
362849524.0,321.0,321.0,1.0,0.0
362851184.0,321.0,325.0,1.0,0.0
362852840.0,324.0,324.0,1.0,0.0
362854496.0,323.0,322.0,1.0,0.0
362856152.0,324.0,322.0,1.0,0.0
362857808.0,324.0,323.0,1.0,0.0
362859464.0,323.0,323.0,1.0,0.0
362861120.0,323.0,324.0,1.0,0.0
362862780.0,322.0,325.0,1.0,0.0
362864436.0,321.0,324.0,1.0,0.0
362866092.0,321.0,323.0,1.0,0.0
362867748.0,321.0,323.0,1.0,0.0
362869404.0,323.0,322.0,1.0,0.0
362871060.0,322.0,321.0,1.0,0.0
362872716.0,319.0,322.0,1.0,0.0
362874372.0,320.0,321.0,1.0,0.0
362876032.0,321.0,322.0,1.0,0.0
362877688.0,324.0,322.0,1.0,0.0
362879344.0,322.0,325.0,1.0,0.0
362881000.0,321.0,324.0,1.0,0.0
362882656.0,323.0,324.0,1.0,0.0
362884316.0,319.0,326.0,1.0,0.0
362885968.0,324.0,326.0,1.0,0.0
362887624.0,323.0,322.0,1.0,0.0
362889284.0,323.0,322.0,1.0,0.0
362890940.0,324.0,321.0,1.0,0.0
362892596.0,321.0,321.0,1.0,0.0
362894252.0,322.0,322.0,1.0,0.0
362895908.0,324.0,322.0,1.0,0.0
362897564.0,323.0,323.0,1.0,0.0
362899224.0,324.0,324.0,1.0,0.0
362900880.0,321.0,325.0,1.0,0.0
362902544.0,325.0,327.0,1.0,0.0
362904192.0,324.0,325.0,1.0,0.0
362905848.0,321.0,323.0,1.0,0.0
362907504.0,320.0,324.0,1.0,0.0
362909160.0,321.0,321.0,1.0,0.0
362910820.0,324.0,320.0,1.0,0.0
362912476.0,322.0,321.0,1.0,0.0
362914132.0,322.0,321.0,1.0,0.0
362915788.0,320.0,321.0,1.0,0.0
362917444.0,323.0,323.0,1.0,0.0
362919100.0,327.0,327.0,1.0,0.0
362920760.0,323.0,325.0,1.0,0.0
362922416.0,322.0,325.0,1.0,0.0
362924072.0,319.0,324.0,1.0,0.0
362925728.0,313.0,324.0,1.0,0.0
362927384.0,325.0,322.0,1.0,0.0
362929040.0,320.0,321.0,1.0,0.0
362930696.0,325.0,321.0,1.0,0.0
362932356.0,326.0,321.0,1.0,0.0
362934008.0,322.0,322.0,1.0,0.0
362935668.0,318.0,323.0,1.0,0.0
362937324.0,325.0,323.0,1.0,0.0
362938980.0,318.0,324.0,1.0,0.0
